slide_number,title,prompt,character,aspect_ratio
001,AIを使って画像生成をしてみよう,"[プロンプト内容]
A brightly lit classroom filled with diverse young students attentively watching a presentation projected on a large screen. In the foreground,塾頭高崎翔太, a friendly and energetic Japanese man in his early 30s, is gesturing enthusiastically towards the screen with a pointer. The screen displays a vibrant and imaginative image of a fantastical landscape, clearly generated by AI, showcasing the creative possibilities. The atmosphere is positive and engaging, reflecting the excitement of learning and exploring AI image generation. Medium shot, 3:4 aspect ratio, educational setting. No text or labels in the image.",塾頭高崎翔太,3:4
002,本日の目標,"[プロンプト内容]
A group of diverse people are sitting around a table in a bright, modern classroom setting. ""Jukutou Shouta Takasaki"" is standing at the front, gesturing enthusiastically towards a large screen displaying an abstract representation of interconnected nodes and circuits, symbolizing AI. One person is actively typing on a laptop. Another is holding up a phone as if taking a photo of the screen. Focus is on learning and collaboration. A clean and inviting atmosphere. Japanese people.",塾頭高崎翔太,3:4
003,第1部：AI画像生成の基礎,"[プロンプト内容]
A young Japanese man,塾頭高崎翔太, wearing a casual blazer and smiling warmly, standing in front of a large screen displaying abstract network diagrams and glowing neural connections. He is gesturing towards the screen with enthusiasm, as if explaining a complex concept in an easy-to-understand manner. The background is a bright and modern learning environment with hints of technology and education, like colorful books and stylized circuit boards, soft lighting, 3:4 aspect ratio, educational presentation style, no text or labels.",塾頭高崎翔太,3:4
004,AI画像生成とは？,"[プロンプト内容]
**プロンプト1:**
An energetic and friendly Japanese man in his early 30s, identified as ""Jukutou Shouta Takasaki,"" is enthusiastically demonstrating AI image generation on a large interactive screen. The screen shows a progression of images, starting with a simple text prompt (""a cat riding a bicycle"") and evolving into a detailed, photorealistic image. He is smiling and gesturing towards the screen, conveying excitement and ease of use. The background is a modern, brightly lit classroom setting with students (blurred in the background) watching with interest. The scene emphasizes the speed, ease, and iterative nature of AI image generation.
**プロンプト2:**
A Japanese man in his early 30s, identified as ""Jukutou Shouta Takasaki,"" stands confidently in front of a whiteboard. The whiteboard displays four diverse and visually striking images generated by AI, each representing a different style or subject (e.g., a futuristic cityscape, a photorealistic portrait, a whimsical illustration, an abstract painting). He is holding a marker and pointing to the images, highlighting the variety and possibilities of AI image generation. The setting is a clean, modern classroom with a focus on visual learning.
**プロンプト3:**
A diverse group of people are gathered around a large table, excitedly using laptops and tablets. On their screens, various AI-generated images are visible, ranging from abstract art to photorealistic landscapes. The atmosphere is collaborative and energetic, emphasizing the accessibility and fun of AI image generation for users of all skill levels. The background is a bright, modern co-working space.
**プロンプト4:**
A split screen showing two contrasting scenarios. On one side, a person is looking frustrated and overwhelmed at a complex graphic design software interface. On the other side, a person is smiling and easily generating images using a simple text prompt on an AI image generation platform. The scene highlights the ease of use and time-saving benefits of AI image generation compared to traditional design methods.
**プロンプト5:**
A Japanese man in his early 30s, identified as ""Jukutou Shouta Takasaki,"" is playfully creating AI-generated images on a tablet. He is typing in a creative text prompt and then reacting with surprise and delight as the image appears on the screen. The background is a casual, comfortable setting like a coffee shop, emphasizing the accessibility and fun of AI image generation.",塾頭高崎翔太,3:4
005,主なAI画像生成ツール,"[プロンプト内容]
プロンプト: 塾頭高崎翔太が、4つの異なるAI画像生成ツールのアイコンが浮かぶディスプレイを指し示しながら、生徒たちに笑顔で説明している。ディスプレイには、NanoBanana、Adobe Firefly、GPT Image、Stable Diffusionを象徴するカラフルでシンプルなアイコンが表示されている（テキスト、文字は一切含めない）。教室のような雰囲気で、高崎翔太はカジュアルだが教育者らしい服装をしている。生徒たちは興味津々といった表情で、画面を見つめている。背景は明るく清潔感のある教室。アスペクト比3:4。
[プロンプト内容]
プロンプト: 4つの異なるAI画像生成ツールのアイコンが並んだ抽象的なイメージ。NanoBananaはバナナとピクセルを組み合わせたユニークなアイコン、Adobe Fireflyは炎とブラシストロークを組み合わせたアイコン、GPT Imageは脳の形をしたアイコンの中にAIのロゴが入ったアイコン、Stable Diffusionは拡散する色の粒子を表現したアイコンで表現されている。それぞれのアイコンはカラフルで、AIによる創造性を象徴している。背景はグラデーション。アスペクト比3:4。テキスト、文字は一切含めない。
[プロンプト内容]
プロンプト: 塾頭高崎翔太が、様々なAI画像生成ツールによって生成された画像が次々と表示される巨大なスクリーンを前に、驚いた表情をしている。画像は、風景、人物、抽象画など多岐に渡り、AIの創造性の豊かさを表現している。高崎翔太はカジュアルだが清潔感のある服装をしている。背景はモダンなプレゼンテーションルーム。アスペクト比3:4。テキスト、文字は一切含めない。",塾頭高崎翔太,3:4
006,今日使うツール,"[プロンプト内容]
塾頭高崎翔太が、NanoBanana (Gemini 2.5 Flash Image) のロゴが表示されたタブレット端末を熱心に見ている様子。背景は明るくモダンなオフィス空間。高崎翔太は笑顔でタブレットを操作しており、その熱意とNanoBananaへの期待感が伝わるように。アスペクト比は3:4。人物は日本人。画像内にテキストは一切含めない。",塾頭高崎翔太,3:4
007,AI画像生成でできること,"[プロンプト内容]
塾頭高崎翔太が、3人の学生（男女混合）にAI画像生成ツールを使ってイラストを作成する方法を教えている様子。高崎は笑顔で、学生たちのタブレット画面を指差している。学生たちは興味津々で画面を見ている。背景には、AI画像生成で作成された様々なスタイルのイラスト（キャラクター、風景画、抽象アート）が浮かび上がっている。明るく活気のある教室の雰囲気。アスペクト比3:4。テキスト、文字、看板、ラベル、タイトルなどは一切なし。",塾頭高崎翔太,3:4
008,AI画像生成の仕組み,Professional abstract background for: AI画像生成の仕組み,なし,3:4
009,できることとできないこと,Professional abstract background for: できることとできないこと,なし,3:4
010,第2部：プロンプトの書き方（30分）,Professional abstract background for: 第2部：プロンプトの書き方（30分）,なし,3:4
