slide_number,title,prompt,character,aspect_ratio
001,最新のAI業界の動向2025,"[プロンプト内容]
A dynamic and energetic Japanese man in his early 30s, named Shotaro Takasaki, standing in front of a futuristic cityscape at dawn. He's gesturing towards a holographic display showing interconnected nodes representing artificial intelligence, machine learning, and data analytics. The cityscape features sleek, modern buildings and flying vehicles, suggesting advanced technological development. Shotaro has a friendly and approachable expression, radiating confidence and expertise. The overall scene conveys innovation, progress, and the cutting edge of AI technology. The lighting is warm and inviting, emphasizing the positive aspects of AI development. The image should have a clean and professional look, suitable for an educational presentation.",塾頭高崎翔太,3:4
002,はじめに,"[プロンプト内容]
A vibrant, futuristic scene depicting the AI industry in 2025. In the foreground, ""塾頭高崎翔太,"" a friendly and energetic Japanese man in his early 30s, gestures towards a holographic display showing interconnected nodes representing Generative AI, Multimodal AI, Enterprise AI, and AI Regulations & Governance. The background features a sleek, modern cityscape with holographic projections showcasing various AI applications in fields like medicine, transportation, and education. Soft, diffused lighting creates a sense of optimism and technological advancement. Vertical (3:4) aspect ratio. No text or labels.",塾頭高崎翔太,3:4
003,生成AIの急速な進化,"[プロンプト内容]
塾頭高崎翔太が、最新鋭の巨大なディスプレイの前で興奮した表情でジェスチャーをしている。ディスプレイには、複雑なネットワークのような映像と、リアルな人間の顔の3Dモデル、そして抽象的なデータストリームが組み合わさって表示されている。背景は未来的な研究室のような雰囲気で、配線やサーバーラックがぼんやりと見える。塾頭高崎翔太は、カジュアルな服装だが、どこか知的な印象を与えるように。縦長構図で、塾頭高崎翔太とディスプレイ全体がバランスよく収まるように配置。",塾頭高崎翔太,3:4
004,マルチモーダルAIの実用化,"[プロンプト内容]
A dynamic scene showcasing the practical application of multimodal AI. In the foreground,塾頭高崎翔太, a young and energetic Japanese instructor in his early 30s, enthusiastically gestures towards a large, interactive holographic display. The display features a split screen: one side shows a complex 3D model of a building being generated in real-time, while the other side depicts a video stream of a person speaking, instantly translated into Japanese subtitles. In the background, blurred figures wearing AR/VR headsets are interacting with augmented reality environments. The overall atmosphere is bright, optimistic, and technologically advanced, conveying the power and potential of multimodal AI. Focus on clear, vibrant visuals and avoid any text or labels within the image. 3:4 aspect ratio.",塾頭高崎翔太,3:4
005,エンタープライズAIの普及,"[プロンプト内容]
A 3:4 vertical image illustrating the widespread adoption of enterprise AI. In the center,塾頭高崎翔太, a Japanese man in his early 30s with an energetic and approachable demeanor, is gesturing towards four distinct scenes surrounding him.
The first scene (top left) depicts a customer support setting with a friendly-looking AI agent avatar interacting with a diverse group of customers via various devices (laptops, tablets, phones).
The second scene (top right) shows robotic arms and digital displays interlinked, representing the fusion of RPA and AI for business automation. This section looks like an automated factory setting but with a touch of futuristic technology.
The third scene (bottom left) showcases a data analytics dashboard with complex charts and graphs. A diverse group of business people is examining the data, using the insights to make informed decisions. The overall tone is serious and data-driven.
The fourth scene (bottom right) presents the automatic creation of marketing materials. AI is generating marketing material for a product, like brochures and social media posts.
The overall tone of the image should be optimistic and forward-looking, visualizing how AI is transforming various aspects of enterprise operations.",塾頭高崎翔太,3:4
006,AIエージェントの台頭,"[プロンプト内容]
a dynamic and optimistic 30s Japanese male instructor, ""Shota Takasaki"" standing in front of a large screen displaying a network diagram illustrating AI agents autonomously performing various tasks. The diagram connects icons representing different tools and processes, all leading towards a distant target icon signifying long-term goal achievement. Shota Takasaki is gesturing towards the screen with enthusiasm, showing an AI agent helping a human worker do a complex task. The scene has a bright, modern, educational atmosphere. 3:4 aspect ratio. No text or labels in the image.",塾頭高崎翔太,3:4
007,AI規制とガバナンス,"[プロンプト内容]
塾頭高崎翔太、30代前半の日本人男性、エネルギッシュで親しみやすい印象。明るいオフィス環境、複数のモニターにAIのコードやデータが表示されている。高崎は熱心にジェスチャーを交えながら、国際会議のようなバーチャルミーティングに参加している。背景にはEU、アメリカ、日本の国旗が小さく表示されている。デスクには企業のロゴが入ったガイドラインブックが置かれている。全体的にAI規制と国際的な議論を表現する構図。アスペクト比3:4。",塾頭高崎翔太,3:4
008,オープンソースAIの躍進,"[プロンプト内容]
A dynamic and encouraging presentation slide image depicting the advancement of open-source AI. In the center, a slightly stylized but realistic rendering of ""塾頭高崎翔太,"" a Japanese man in his early 30s, energetic and approachable, is gesturing towards a holographic display filled with abstract, glowing code visualizations representing open-source AI models. These models evolve from basic shapes into more complex structures, symbolizing their performance improvement. Behind him, blurred figures of diverse individuals collaborate around virtual workstations, showcasing community-driven development. The overall scene is bathed in a futuristic blue light, conveying innovation and progress, but remains approachable and educational. Vertical aspect ratio (3:4). No text, titles, or labels. The scene should evoke a sense of collaborative innovation and accessibility in AI development.",塾頭高崎翔太,3:4
009,AI開発の課題,"[プロンプト内容]
A complex network of interconnected nodes representing a neural network, with some nodes brightly illuminated indicating high computational load and energy consumption. A shadowy figure emerging from the network, symbolizing AI hallucination and the generation of false outputs. The network is partially fractured and tilted, displaying an uneven distribution of colors and sizes, representing bias and fairness issues within the AI system. The network's base is secured by a digital padlock and shrouded in a data stream, representing data privacy and security concerns. The image should be in a vertical (3:4) aspect ratio and suitable for an educational presentation, with no text or labels. The overall color scheme is muted with accents of bright color to highlight the key issues.",なし,3:4
010,2025年の展望,"[プロンプト内容]
輝かしい未来都市の風景、無数のデータストリームが空中に浮かび上がり、様々な産業のアイコン（製造、医療、運輸など）がデータと繋がり未来都市を活性化させている様子。塾頭高崎翔太が少し遠くからその様子を笑顔で見ている。",塾頭高崎翔太,3:4
011,まとめ,Professional abstract background for: まとめ,なし,3:4
