slide_number,title,prompt,character,aspect_ratio
001,AIとCanvaでバナー作り,"[プロンプト内容]
30代前半の日本人男性、塾頭高崎翔太が、Canvaの画面に向かって笑顔でジェスチャーをしている。Canvaの画面には、紅葉の画像と「秋田」という文字をあしらったバナーデザインが表示されている。背景には、ノートパソコン、タブレット、文房具などが置かれた明るく清潔感のあるデスク。周囲には、熱心にバナーデザインに取り組む女性たちの姿がぼんやりと見える。縦長(3:4)。教育的な雰囲気。テキスト、文字、看板、ラベル、タイトルはなし。",塾頭高崎翔太,3:4
002,本日の目標,"[プロンプト内容]
教室で、塾頭高崎翔太がCanvaの画面を見ながら、熱心にバナーデザインを指導している様子。生徒たちが真剣な表情で彼の説明を聞き、パソコンに向かっている。背景には、様々なデザインツールやバナーのサンプルが表示されたモニターが複数ある。エネルギッシュで活気のある学習風景。縦長構図。",塾頭高崎翔太,3:4
003,アイスブレイク（5分）,"[プロンプト内容]
A 30s Japanese male instructor, ""Shota Takasaki"", standing in front of a whiteboard filled with messy sketches of web layouts, mobile app interfaces, and various graphic elements. He is pointing at the whiteboard with a slightly frustrated expression. In the corner of the whiteboard, a faint lightbulb icon is visible, suggesting an idea. The overall atmosphere is of struggling with design challenges. The scene is set in a bright, modern classroom. The image is a vertical format (3:4 ratio), emphasizing the whiteboard and the instructor. No text or labels should be present in the image.",塾頭高崎翔太,3:4
004,第1部：バナーデザインの基本（25分）,"[プロンプト内容]
30代前半の日本人男性、塾頭高崎翔太が、様々な大きさや形、色のバナーデザインが並んだモニターを指し示しながら、笑顔で説明している。バナーデザインは、様々な業界の広告を模しており、それぞれ異なるフォント、レイアウト、画像を使用している。背景は、モダンなデザインのセミナールーム。縦長(3:4)のアスペクト比。",塾頭高崎翔太,3:4
005,バナーとは？,"[プロンプト内容]
A dynamic, vertical (3:4 aspect ratio) image depicting Shota Takasaki, a friendly and energetic Japanese man in his early 30s, surrounded by multiple visual representations of different banner uses. He is gesturing enthusiastically towards these representations. These representations should include: a stylized laptop screen showing a website with a prominent web banner advertisement, a smartphone displaying a vibrant social media post with an image banner, a physical event poster displayed on an easel (without any text), a creatively designed campaign poster, and a blog post thumbnail with a captivating image. The overall composition should feel educational and presentational. The background should not be abstract but rather a slightly blurred, modern office or co-working space.",塾頭高崎翔太,3:4
006,バナーの種類とサイズ,"[プロンプト内容]
塾頭高崎翔太が、様々な大きさのフレーム（それぞれ300x250, 728x90, 160x600, 1080x1080, 820x312, 1500x500, 1280x720, 1200x630の比率）を指し示している。フレームの中は、それぞれWeb広告、SNS、その他様々なオンラインプラットフォームを象徴するアイコンやイメージで満たされている。高崎翔太は笑顔で、聴衆にバナー広告の種類とサイズを説明している様子。背景は明るく、清潔感のあるオフィス環境。教育的で分かりやすい構図。アスペクト比3:4。",塾頭高崎翔太,3:4
007,良いバナーの3原則,"[プロンプト内容]
A 3:4 aspect ratio image for an educational presentation slide titled ""The 3 Principles of a Good Banner"". The image should visually represent these principles in a single scene. In the center, create a visually appealing banner design (without any text). To the left, depict Shota Takasaki, a 30s energetic and friendly Japanese man (塾頭高崎翔太), gesturing enthusiastically towards the banner. Behind him, subtly incorporate elements suggesting the ""3-second rule"" such as a faint timer or a clock motif. Use impactful colors and appealing visuals in the banner design to highlight its eye-catching nature. To the right of the banner, show a stylized call to action button (visually suggested, no text) with arrows subtly pointing towards it, indicating the promotion of action. The overall scene should be bright, engaging, and clearly communicate the three principles of a good banner through visual storytelling, suitable for educational use.",塾頭高崎翔太,3:4
008,悪いバナーの例,"[プロンプト内容]
塾頭高崎翔太が、大量の文字が詰め込まれた、蛍光色の背景でチカチカ点滅する、ごちゃごちゃしたデザインの縦長バナー広告を指差して、困惑した表情を浮かべている。バナー広告の内容は全く理解できない様子。塾頭高崎翔太は首をかしげ、うんざりした顔をしている。背景には、情報過多で混乱している様子の人々（シルエット）が描かれている。アスペクト比3:4。",塾頭高崎翔太,3:4
009,良いバナーの例,"[プロンプト内容]
A Japanese man in his early 30s, energetic and friendly, is standing in front of a brightly lit coffee shop. He is pointing with excitement at a large, vibrant banner displayed on the storefront. The banner features a delicious-looking cup of coffee with steam rising from it. Below the coffee image, the banner implies a sale with bold colors. The coffee shop has a modern and inviting atmosphere. The man's expression clearly conveys enthusiasm and recommendation. The lighting highlights the coffee and the man's positive expression.",塾頭高崎翔太,3:4
010,バナーデザインの構成要素,"[プロンプト内容]
A 3:4 aspect ratio image depicting energetic Shota Takasaki, a Japanese man in his early 30s, enthusiastically gesturing towards a whiteboard covered with sketches and visual representations of banner design elements. The sketches include a large, eye-catching headline with simplified geometric shapes suggesting text, a vibrant product image with clean lines and bold colors, easily readable supplemental information represented by neatly arranged shapes and icons, and a prominent call-to-action button symbolized by a hand cursor pointing to a clearly defined rectangular shape. The overall image should convey a sense of clarity, dynamism, and educational purpose, highlighting the four key components of effective banner design without including actual text or labels. The background is a modern, brightly lit classroom setting.",塾頭高崎翔太,3:4
