slide_number,title,prompt,character,aspect_ratio
001,最新のAI業界の動向2025,"[プロンプト内容]
A futuristic cityscape filled with holographic projections of AI-powered technologies. The city is bustling with activity, with autonomous vehicles and delivery drones zipping around. In the center of the image,塾頭高崎翔太, with a confident and enthusiastic expression, gestures towards the cityscape, as if explaining the potential of AI. The overall tone is optimistic and forward-looking, emphasizing the positive impact of AI on society. 3:4 aspect ratio.",塾頭高崎翔太,3:4
002,はじめに,"[プロンプト内容]
塾頭高崎翔太が、最新技術が詰まった未来的な研究室のような場所で、ホログラムで表示されたAIの進化を示すグラフや、マルチモーダルAIの応用例（例えば、画像認識された製品情報がテキストで表示される様子）、エンタープライズAIの実用化事例（企業のデータ分析ダッシュボードのようなもの）を指し示しながら、熱心に説明している様子。背後には、AI規制とガバナンスに関するアイコン（例えば、法律の象徴と歯車が組み合わさったもの）が控えめに表示されている。研究室は清潔感があり、活気に満ちた雰囲気。3:4の縦長構図。",塾頭高崎翔太,3:4
003,生成AIの急速な進化,"[プロンプト内容]
塾頭高崎翔太: 塾頭高崎翔太
プロンプト:
塾頭高崎翔太、30代前半の日本人男性。エネルギッシュで親しみやすい印象。未来的な研究室の中で、複数のモニターに囲まれ、驚いた表情でジェスチャーをしている。モニターには、複雑なニューラルネットワーク図、テキストデータストリーム、リアルタイムで生成された人物の動画などが表示されている。モニターの背後には、さらに大きなスクリーンがあり、GPT-5またはGemini 3.0のロゴのような抽象的な、しかし洗練されたデザインが光っている。研究室全体は明るく、先進的な雰囲気。床にはケーブルや機器が整然と配置されている。焦点は高崎翔太の驚きの表情と、それを引き起こしているモニターの描写に当てる。",なし,3:4
004,マルチモーダルAIの実用化,"[プロンプト内容]
**プロンプト例1: 動画理解と生成の高度化**
臨場感あふれるコンサート会場。ステージ上で熱唱するアーティストのライブ映像が巨大スクリーンに映し出されている。観客は興奮と熱狂に包まれている。
塾頭高崎翔太は、最前列で笑顔でライブを鑑賞し、スマートフォンでその様子を撮影している。
観客の表情、照明、アーティストのパフォーマンス、スクリーンの映像など、ライブ会場の熱気を細部まで描写する。
**プロンプト例2: リアルタイム翻訳と字幕生成**
国際会議の会場。壇上でスピーチをする外国人講師。
講師の背後にある巨大スクリーンには、日本語の字幕がリアルタイムで表示されている。
塾頭高崎翔太は、最前列で熱心に講師の話を聞き、字幕を見ている。
講師の表情、字幕の文字、聴衆の様子など、国際会議の雰囲気を詳細に表現する。
**プロンプト例3: 3Dモデル生成AI**
研究室のような場所。
複数のモニターには、複雑な3Dモデルの設計図が表示されている。
塾頭高崎翔太は、VRヘッドセットを装着し、3Dモデルを操作している。
背景には、3Dプリンターで出力された様々な形状のオブジェクトが並んでいる。
**プロンプト例4: AR/VRとの統合**
公園のような場所。
塾頭高崎翔太は、ARグラスをかけ、スマートフォンを操作しながら、目の前に現れた仮想のキャラクターと楽しそうに交流している。
背景には、現実の風景とARによって表示されたオブジェクトが融合した様子が描写されている。",塾頭高崎翔太,3:4
005,エンタープライズAIの普及,"[プロンプト内容]
A vertical (3:4) image illustrating the widespread adoption of Enterprise AI. Depict a modern office environment. On the left side, show a customer support scenario with a friendly AI agent interface on a screen, interacting with customers. In the center, illustrate robotic process automation (RPA) working alongside AI, automating tasks on computer screens. On the right, show a data analysis scenario with a visual representation of predictive analytics charts and graphs. Overseeing these activities is Jukucho Shota Takasaki, a Japanese man in his early 30s, radiating energy and approachability. He is gesturing towards the overall integration of AI in the enterprise. Avoid text, labels, or titles within the image. Focus on creating a visually engaging and informative representation of Enterprise AI adoption for an educational presentation.",塾頭高崎翔太,3:4
006,AIエージェントの台頭,"[プロンプト内容]
A dynamic vertical (3:4) image depicting the rise of AI agents. In the center, a stylized AI brain made of interconnected glowing circuits is expanding, reaching out to grasp and control various tools and technologies. These tools could include a miniature factory assembly line, a miniature server farm, a miniature microscope, and a miniature project management dashboard. To the side, a slightly blurred, slightly transparent hologram of Takasaki Shota, a Japanese man in his early 30s, is observing the AI's actions with a confident and encouraging expression. The background is a clean, modern office environment with a subtle gradient. The overall tone is futuristic and optimistic, conveying the power and potential of AI agents working autonomously and collaboratively with humans. No text, labels, or titles are present in the image.",塾頭高崎翔太,3:4
007,AI規制とガバナンス,"[プロンプト内容]
塾頭高崎翔太、30代前半の日本人男性、エネルギッシュで親しみやすい印象。未来的な都市の景観を背景に、デジタル世界を象徴する光の粒子が飛び交う空間で、両手を広げてAI技術の進化を歓迎するジェスチャーをしている。その周りには、各国の国旗（EU旗、アメリカ国旗、日本国旗など）がホログラムのように浮かび上がり、AI規制とガバナンスの国際的な連携を象徴的に表現している。縦長（3:4）のアスペクト比。",塾頭高崎翔太,3:4
008,オープンソースAIの躍進,"[プロンプト内容]
a young Japanese man in his early 30s, Shota Takasaki, energetic and friendly, standing in front of a large, stylized glowing brain made of interconnected nodes and circuits. The brain is depicted as a vibrant network, symbolizing the development and advancement of open-source AI. Behind him, a diverse group of people are collaborating around computer screens, representing the community-driven aspect of open-source AI. The environment is a modern, collaborative workspace with a focus on technology and innovation. The scene should convey a sense of progress, community, and the power of open-source AI. Aspect ratio 3:4. No text or labels.",塾頭高崎翔太,3:4
009,AI開発の課題,"[プロンプト内容]
A worried looking Japanese man, ""Jukutou Shota Takasaki"" in his early 30s, standing in front of a large, complex circuit board filled with glowing wires and overheating components. The circuit board is consuming large amounts of electricity, visually represented by thick power cables feeding into it. He is pointing towards the circuit board with a concerned expression, representing the high computational cost and energy consumption of AI development. The setting is a modern research lab with advanced equipment visible in the background. Capture the essence of the ""AI development challenges"" theme. Aspect ratio: 3:4.",塾頭高崎翔太,3:4
010,2025年の展望,"[プロンプト内容]
高層ビル群を背景に、未来的な研究室のような空間。塾頭高崎翔太は、ホログラフィックディスプレイに映し出された複雑なニューラルネットワークの図を指し示しながら、数人の研究者と熱心に議論している。研究室には、量子コンピューターのモックアップや、脳波を測定するヘッドセットなどが配置されている。全体的に明るく、希望に満ちた雰囲気。縦長（3:4）のアスペクト比。",塾頭高崎翔太,3:4
011,まとめ,"[プロンプト内容]
科学技術の進化を象徴する、光り輝く未来都市の風景。高層ビル群は複雑な構造を持ち、空には無数のドローンが飛び交っている。中央には、複数のディスプレイに様々な情報が表示され、それらを分析する塾頭高崎翔太の姿。彼の表情は希望に満ち溢れ、未来を見据えている。都市全体は活気に満ち、AI技術が社会に浸透している様子を表現。明るく、未来的な色調で統一。",塾頭高崎翔太,3:4
