slide_number,title,prompt,character,aspect_ratio
001,AIで業務効率化！初学者向けAI活用講座,"Create a professional illustration: modern office worker using AI on laptop, digital transformation concept. Style: hero image, bold and impactful, cinematic. Modern flat design, clean composition, vibrant blue and white colors, suitable for educational presentation. No text or words in the image. High quality, 3:4 vertical aspect ratio.",なし,3:4
002,本日の目標,"Create a professional illustration: target goals with checkboxes, achievement concept. Style: instructional diagram. Modern flat design, clean composition, vibrant colors, suitable for educational presentation. No text or words in the image. High quality, 3:4 vertical aspect ratio.",なし,3:4
003,講座の流れ（90分）,"Create a professional illustration: timeline schedule, step by step process flow. Style: instructional diagram. Modern flat design, clean composition, vibrant colors, suitable for educational presentation. No text or words in the image. High quality, 3:4 vertical aspect ratio.",なし,3:4
004,第1部：AIの基本,"Create a professional illustration: artificial intelligence brain, neural network concept. Style: section header, bold and impactful. Modern flat design, clean composition, blue and purple tones, suitable for educational presentation. No text or words in the image. High quality, 3:4 vertical aspect ratio.",なし,3:4
005,AIとは？,"Create a professional illustration: AI robot assistant helping human, friendly technology. Style: conceptual visualization. Modern flat design, clean composition, vibrant colors, suitable for educational presentation. No text or words in the image. High quality, 3:4 vertical aspect ratio.",なし,3:4
006,生成AIでできること,"Create a professional illustration: AI generating text, images, and code simultaneously. Style: feature showcase. Modern flat design, clean composition, vibrant colors, suitable for educational presentation. No text or words in the image. High quality, 3:4 vertical aspect ratio.",なし,3:4
007,代表的な生成AI,"Create a professional illustration: multiple AI assistant icons, chatbot comparison. Style: comparison chart visualization. Modern flat design, clean composition, vibrant colors, suitable for educational presentation. No text or words in the image. High quality, 3:4 vertical aspect ratio.",なし,3:4
008,Google Geminiを使おう,"Create a professional illustration: Gemini AI interface on laptop screen, Google branding colors. Style: step-by-step guide. Modern flat design, clean composition, blue and teal colors, suitable for educational presentation. No text or words in the image. High quality, 3:4 vertical aspect ratio.",なし,3:4
009,実習1：Geminiに話しかけよう,"Create a professional illustration: person typing on computer chatting with AI. Style: hands-on practical demonstration. Modern flat design, clean composition, vibrant colors, suitable for educational presentation. No text or words in the image. High quality, 3:4 vertical aspect ratio.",なし,3:4
010,第2部：プロンプトの書き方,"Create a professional illustration: writing prompt text with cursor, input concept. Style: section header, bold and impactful. Modern flat design, clean composition, orange and yellow tones, suitable for educational presentation. No text or words in the image. High quality, 3:4 vertical aspect ratio.",なし,3:4
011,プロンプトとは？,"Create a professional illustration: question mark transforming into answer, communication concept. Style: conceptual visualization. Modern flat design, clean composition, vibrant colors, suitable for educational presentation. No text or words in the image. High quality, 3:4 vertical aspect ratio.",なし,3:4
012,悪いプロンプトの例,"Create a professional illustration: confused AI with vague question marks, unclear communication. Style: warning example visualization. Modern flat design, clean composition, red and gray tones, suitable for educational presentation. No text or words in the image. High quality, 3:4 vertical aspect ratio.",なし,3:4
013,良いプロンプトの例,"Create a professional illustration: clear communication with AI, checkmark success. Style: best practice example. Modern flat design, clean composition, green and blue tones, suitable for educational presentation. No text or words in the image. High quality, 3:4 vertical aspect ratio.",なし,3:4
