slide_number,title,prompt,character,aspect_ratio
001,Geminiで資料作り,"[プロンプト内容]
A dynamic 3:4 portrait of a friendly and energetic Japanese man in his early thirties, ""Jukucho Shota Takasaki,"" standing confidently in front of a large digital display showcasing various presentation slides. The slides on the screen appear well-organized and visually appealing, filled with graphs, charts, and key points. He is pointing to one of the slides with a gesture that conveys enthusiasm and expertise. The overall atmosphere is positive, inspiring, and suggests efficiency in creating compelling presentations.",塾頭高崎翔太,3:4
002,本日の目標,"[プロンプト内容]
A young, energetic Japanese man, Shota Takasaki, in his early 30s, is standing in front of a whiteboard covered in colorful diagrams and flowcharts. He is pointing with a marker to a section on the board that visually represents a streamlined document creation process, depicted with arrows connecting different stages like ""Brainstorming,"" ""Drafting,"" ""Editing,"" and ""Finalization."" He is smiling encouragingly at the viewer. The background suggests a modern, collaborative workspace, with soft, natural lighting and comfortable seating visible in the periphery. The overall composition conveys efficiency, understanding, and a positive learning environment. Aspect ratio 3:4. No text or labels. Focus on visual representation.",塾頭高崎翔太,3:4
003,アイスブレイク（5分）,"[プロンプト内容]
資料作りで悩む人々: なし
プロンプト:
縦長、教育プレゼンテーション用、30代前半の日本人男性の塾講師「塾頭高崎翔太」が、困った表情で頭を抱えながらパソコンに向かっている複数の人たちを、笑顔で指し示している構図。パソコンの画面には、未完成の資料やグラフなどが表示されている。塾頭高崎翔太はエネルギッシュで親しみやすい印象。背景は明るく、教室またはオフィスのような雰囲気。全体的に希望に満ちた光が差し込んでいる。",なし,3:4
004,第1部：資料の基本（25分）,"[プロンプト内容]
30代前半のエネルギッシュな日本人男性、塾頭の高崎翔太が、明るい教室で、資料を広げて説明している様子。数名の学生が熱心に耳を傾けている。ホワイトボードには、グラフや図が薄く描かれている（判読できない程度にぼかされている）。高崎翔太は指し棒を持ち、自信に満ちた表情で、学生たちの方を向いている。教室は清潔で、自然光が入る明るい雰囲気。フォーカスは高崎翔太に当て、学生たちは少しぼかす。縦長（3:4）のアスペクト比。教育的で親しみやすい印象。",塾頭高崎翔太,3:4
005,ビジネス資料とは？,"[プロンプト内容]
A 30-year-old Japanese man, Shota Takasaki, with a friendly and energetic demeanor, stands in front of a whiteboard. The whiteboard is divided into four sections, each visually representing a type of business document: 1) A lightbulb above a blueprint for ""企画書（Plan Proposal）"", 2) A graph showing upward progress for ""報告書（Report）"", 3) A puzzle piece fitting perfectly into place representing ""提案書（Proposal）"", and 4) A detailed technical drawing representing ""仕様書（Specification）"". Shota Takasaki is pointing to the whiteboard with a smile, as if explaining the different documents to an unseen audience. The scene is set in a modern, bright office environment. Capture the image in a 3:4 aspect ratio, suitable for educational presentations. No text or labels should be present in the image. Focus on clear visuals.",塾頭高崎翔太,3:4
006,良い資料の3原則,"[プロンプト内容]
A 30-year-old Japanese man,塾頭高崎翔太, energetically explaining the three principles of good presentation materials to a group of young adults in a bright, modern classroom. He gestures enthusiastically towards a large whiteboard displaying three interconnected gears, each labeled with a visual representation of ""Clarity,"" ""Persuasion,"" and ""Readability."" The gear representing ""Clarity"" shows a simplified flowchart. The ""Persuasion"" gear features a graph highlighting key data points. The ""Readability"" gear displays an example of well-formatted text with clear headings and sufficient white space. The atmosphere is positive and encouraging, with the students attentively engaged. (3:4 aspect ratio, focused composition)",塾頭高崎翔太,3:4
007,資料の基本構成（三段論法）,"[プロンプト内容]
塾頭高崎翔太が、3段のピラミッド図の前で、聴衆に身振り手振りを交えて熱心に説明している様子。ピラミッドの最上段には「結論」、中段には「本論」、最下段には「序論」と、それぞれ対応するアイコン（最上段: 旗、中段: レンチと歯車、最下段: 地図）が描かれている。背景は明るくモダンなセミナー会場。塾頭高崎翔太は聴衆に笑顔で語りかけており、自信と熱意が感じられる。縦長（3:4）のアスペクト比。教育的で、プレゼンテーション用途にふさわしい構図。",塾頭高崎翔太,3:4
008,PREP法,"[プロンプト内容]
塾頭高崎翔太: 塾頭高崎翔太
塾頭高崎翔太が、ホワイトボードの前に立ち、PREP法の各段階（Point, Reason, Example, Point）を説明している場面。ホワイトボードには、PREP法の各段階を示すアイコン（例：Pointは指差しマーク、Reasonはパズルのピース、Exampleはストーリーの絵、Pointはチェックマーク）が描かれている。高崎翔太は、自信に満ちた笑顔で、聴衆（生徒）に語りかけている。背景は明るく清潔感のある塾の教室。縦長（3:4）構図。",なし,3:4
009,悪い資料の例,"[プロンプト内容]
A frustrated Japanese businessman in his early 30s, named Shota Takasaki, is sitting at a cluttered desk piled high with papers. He is holding a single, poorly written document titled ""Proposal"" in his hands, with a look of utter disbelief and exasperation on his face. The document is rendered indistinct and unreadable. He is surrounded by discarded drafts and crumpled sticky notes. The office environment is dimly lit and disorganized, suggesting a lack of clarity and direction. The overall scene conveys the feeling of wasted effort and frustration caused by a poorly written document. The scene is framed in a 3:4 aspect ratio.",塾頭高崎翔太,3:4
010,良い資料の例,"[プロンプト内容]
A 30-year-old Japanese man, Shota Takasaki, the head of cram school, stands confidently next to a large whiteboard displaying a simplified graph illustrating market growth. He's pointing at the upward-trending graph with a marker in his hand, a genuine smile on his face. The whiteboard is filled with stylized icons representing market analysis and product development: a magnifying glass, a target icon, and a light bulb. Around him are stylized, abstract representations of ""30代女性"" (women in their 30s) represented as stylish mannequins in pastel colors, arranged like an interested audience. The lighting is bright and optimistic, creating a sense of clear understanding and positive progress. A simple, clean background with soft, blurred colors behind him. No text, labels, or titles on the whiteboard or anywhere in the image. 3:4 aspect ratio.",塾頭高崎翔太,3:4
011,実際に試してみましょう,"[プロンプト内容]
A 30代前半のエネルギッシュな日本人男性、塾頭高崎翔太が、白い大きなホワイトボードの前に立っている。ホワイトボードには、手書き風のフローチャートが描かれており、Geminiのロゴと矢印で繋がれた「構成案」「セクション作成」「ブラッシュアップ」「最終チェック」という四つの段階が示されている。高崎翔太は、ペンを手に持ち、笑顔でホワイトボードを指し示している。背景には、明るくモダンな雰囲気の学習スペースが見える。縦長(3:4)のアスペクト比。",塾頭高崎翔太,3:4
