slide_number,title,prompt,character,aspect_ratio
001,AIでビジネスリサーチ&戦略立案,Professional abstract background for: AIでビジネスリサーチ&戦略立案,なし,3:4
002,本日の目標,Professional abstract background for: 本日の目標,なし,3:4
003,こんな悩みありませんか？,Professional abstract background for: こんな悩みありませんか？,なし,3:4
004,第1部：ビジネスリサーチ基礎（20分）,Professional abstract background for: 第1部：ビジネスリサーチ基礎（20分）,なし,3:4
005,ディープリサーチとは,Professional abstract background for: ディープリサーチとは,なし,3:4
006,リサーチの3つのレベル,Professional abstract background for: リサーチの3つのレベル,なし,3:4
007,第2部：競合分析実践（30分）,Professional abstract background for: 第2部：競合分析実践（30分）,なし,3:4
008,競合分析フレームワーク,Professional abstract background for: 競合分析フレームワーク,なし,3:4
009,実習1：競合3社比較（15分）,Professional abstract background for: 実習1：競合3社比較（15分）,なし,3:4
010,競合分析から戦略へ,Professional abstract background for: 競合分析から戦略へ,なし,3:4
011,第3部：広報戦略立案（30分）,Professional abstract background for: 第3部：広報戦略立案（30分）,なし,3:4
012,広報戦略の基本要素,Professional abstract background for: 広報戦略の基本要素,なし,3:4
013,実習2：SNS戦略立案（15分）,Professional abstract background for: 実習2：SNS戦略立案（15分）,なし,3:4
014,プレスリリース作成,Professional abstract background for: プレスリリース作成,なし,3:4
015,第4部：ビジネスプラン作成（20分）,Professional abstract background for: 第4部：ビジネスプラン作成（20分）,なし,3:4
016,ビジネスプランの構成,Professional abstract background for: ビジネスプランの構成,なし,3:4
017,実習3：簡易事業計画（10分）,Professional abstract background for: 実習3：簡易事業計画（10分）,なし,3:4
018,収支シミュレーション,Professional abstract background for: 収支シミュレーション,なし,3:4
019,第5部：レポート作成術（20分）,Professional abstract background for: 第5部：レポート作成術（20分）,なし,3:4
020,効果的なレポート構成,Professional abstract background for: 効果的なレポート構成,なし,3:4
021,実習4：1ページレポート作成,Professional abstract background for: 実習4：1ページレポート作成,なし,3:4
022,ビジュアル化のコツ,Professional abstract background for: ビジュアル化のコツ,なし,3:4
023,第6部：NotebookLMで情報管理（20分）,Professional abstract background for: 第6部：NotebookLMで情報管理（20分）,なし,3:4
024,NotebookLMとは,Professional abstract background for: NotebookLMとは,なし,3:4
025,NotebookLMの活用手順,Professional abstract background for: NotebookLMの活用手順,なし,3:4
026,実習5：NotebookLM活用（10分）,Professional abstract background for: 実習5：NotebookLM活用（10分）,なし,3:4
027,情報の体系化,Professional abstract background for: 情報の体系化,なし,3:4
028,オーディオ要約の活用,Professional abstract background for: オーディオ要約の活用,なし,3:4
029,第7部：実践演習（10分）,Professional abstract background for: 第7部：実践演習（10分）,なし,3:4
030,総合演習：新規事業立案,Professional abstract background for: 総合演習：新規事業立案,なし,3:4
031,プロンプトチェーン,Professional abstract background for: プロンプトチェーン,なし,3:4
032,成果物チェックリスト,Professional abstract background for: 成果物チェックリスト,なし,3:4
033,実践課題,Professional abstract background for: 実践課題,なし,3:4
034,便利なテンプレート集,Professional abstract background for: 便利なテンプレート集,なし,3:4
035,リサーチツール紹介,Professional abstract background for: リサーチツール紹介,なし,3:4
036,まとめ,Professional abstract background for: まとめ,なし,3:4
037,ビジネススキルの向上,Professional abstract background for: ビジネススキルの向上,なし,3:4
038,次回予告,Professional abstract background for: 次回予告,なし,3:4
039,参考リンク,Professional abstract background for: 参考リンク,なし,3:4
040,質疑応答,Professional abstract background for: 質疑応答,なし,3:4
041,最後のメッセージ,Professional abstract background for: 最後のメッセージ,なし,3:4
042,ありがとうございました！,Professional abstract background for: ありがとうございました！,なし,3:4
